Night,fert,Year   ,Cross,Species,,,
8/23/2019,38.56214428,Year 1 (2019),U50-U32,A.cervicornis,,,
8/23/2019,82.00418629,Year 1 (2019),U32-U50,A.cervicornis,,,
8/23/2019,18.8730341,Year 1 (2019),U50-U12,A.cervicornis,,,
8/23/2019,77.27272727,Year 1 (2019),U12-U50,A.cervicornis,,,
8/23/2019,40.65711391,Year 1 (2019),U50-U16,A.cervicornis,,,
8/23/2019,68.86353203,Year 1 (2019),U16-U50,A.cervicornis,,,
8/23/2019,42.67406104,Year 1 (2019),U50-U4,A.cervicornis,,,
8/23/2019,76.52474783,Year 1 (2019),U4-U50,A.cervicornis,,,
8/23/2019,69.88176698,Year 1 (2019),U32-U12,A.cervicornis,,,
8/23/2019,69.31450946,Year 1 (2019),U12-U32,A.cervicornis,,,
8/23/2019,89.21460057,Year 1 (2019),U32-U16,A.cervicornis,,,
8/23/2019,54.01213739,Year 1 (2019),U16-U32,A.cervicornis,,,
8/23/2019,75.24748511,Year 1 (2019),U32-U4,A.cervicornis,,,
8/23/2019,46.15157174,Year 1 (2019),U4-U32,A.cervicornis,,,
8/23/2019,84.52380952,Year 1 (2019),U12-U16,A.cervicornis,,,
8/23/2019,40.72032559,Year 1 (2019),U16-U12,A.cervicornis,,,
8/23/2019,6.184055446,Year 1 (2019),U12-U4,A.cervicornis,,,
8/23/2019,7.250438967,Year 1 (2019),U4-U12,A.cervicornis,,,
8/23/2019,80.76907001,Year 1 (2019),U16-U4,A.cervicornis,,,
8/23/2019,48.24738614,Year 1 (2019),U4-U16,A.cervicornis,,,
8/13/2022,9.78,Year 2 (2022),056-098,A.cervicornis,,,
8/13/2022,33.77,Year 2 (2022),056-108,A.cervicornis,,,
8/13/2022,39.99,Year 2 (2022),056-065,A.cervicornis,,,
8/13/2022,37.5,Year 2 (2022),056-029,A.cervicornis,,,
8/13/2022,56.79,Year 2 (2022),056-057,A.cervicornis,,,
8/13/2022,38.42,Year 2 (2022),098-108,A.cervicornis,,,
8/13/2022,51.13,Year 2 (2022),098-065,A.cervicornis,,,
8/13/2022,37.84,Year 2 (2022),098-029,A.cervicornis,,,
8/13/2022,95.8,Year 2 (2022),098-057,A.cervicornis,,,
8/13/2022,25.47,Year 2 (2022),108-065,A.cervicornis,,,
8/13/2022,38.36,Year 2 (2022),108-029,A.cervicornis,,,
8/13/2022,83.08,Year 2 (2022),108-057,A.cervicornis,,,
8/13/2022,4.74,Year 2 (2022),065-029,A.cervicornis,,,
8/13/2022,0,Year 2 (2022),065-057,A.cervicornis,,,
8/13/2022,44.79,Year 2 (2022),029-057,A.cervicornis,,,
8/13/2022,75.11,Year 2 (2022),098-056,A.cervicornis,,,
8/13/2022,67.96,Year 2 (2022),108-056,A.cervicornis,,,
8/13/2022,20.9,Year 2 (2022),065-056,A.cervicornis,,,
8/13/2022,29.41,Year 2 (2022),029-056,A.cervicornis,,,
8/13/2022,11.45,Year 2 (2022),057-056,A.cervicornis,,,
8/13/2022,19,Year 2 (2022),108-098,A.cervicornis,,,
8/13/2022,2.38,Year 2 (2022),065-098,A.cervicornis,,,
8/13/2022,6.55,Year 2 (2022),029-098,A.cervicornis,,,
8/13/2022,3.79,Year 2 (2022),057-098,A.cervicornis,,,
8/13/2022,23.95,Year 2 (2022),065-108,A.cervicornis,,,
8/13/2022,34.81,Year 2 (2022),029-108,A.cervicornis,,,
8/13/2022,17.71,Year 2 (2022),057-108,A.cervicornis,,,
8/13/2022,16.31,Year 2 (2022),029-065,A.cervicornis,,,
8/13/2022,11.03,Year 2 (2022),057-065,A.cervicornis,,,
8/13/2022,0.58,Year 2 (2022),057-029,A.cervicornis,,,
8/15/2022,2.732240437,Year 2 (2022),007-B8 ,A.cervicornis,,,
8/15/2022,27.52689497,Year 2 (2022),007-025 ,A.cervicornis,,,
