Night,fert,Year   ,Cross,Species
8/15/2022,45.15669516,Year 2 (2022),056-048 ,ACER
8/15/2022,25.49223417,Year 2 (2022),M13-048 ,ACER
8/15/2022,51.13378685,Year 2 (2022),104-048 ,ACER
8/15/2022,52.44278046,Year 2 (2022),121-048 ,ACER
8/15/2022,33.3974359,Year 2 (2022),M13-056 ,ACER
8/15/2022,49.98481823,Year 2 (2022),104-056 ,ACER
8/15/2022,42.33875587,Year 2 (2022),121-056 ,ACER
8/15/2022,60.37131196,Year 2 (2022),104-M13 ,ACER
8/15/2022,66.3823178,Year 2 (2022),121-M13 ,ACER
8/15/2022,39.50734471,Year 2 (2022),121-104 ,ACER
8/22/2019,94.76301718,Year 1 (2019),52-53,OFAV
8/22/2019,96.32963824,Year 1 (2019),52-54,OFAV
8/22/2019,91.56975642,Year 1 (2019),52-55,OFAV
8/22/2019,7.2102605,Year 1 (2019),52-56,OFAV
8/22/2019,84.48804874,Year 1 (2019),52-57,OFAV
8/22/2019,95.20751229,Year 1 (2019),52-77,OFAV
8/22/2019,93.8736468,Year 1 (2019),52-79,OFAV
8/22/2019,82.89495842,Year 1 (2019),52-90,OFAV
8/22/2019,91.00076104,Year 1 (2019),52-107,OFAV
8/22/2019,95.71960061,Year 1 (2019),53-52,OFAV
8/22/2019,95.73843708,Year 1 (2019),53-54,OFAV
8/22/2019,92.97925109,Year 1 (2019),53-55,OFAV
8/22/2019,7.369946082,Year 1 (2019),53-56,OFAV
8/22/2019,84.94773842,Year 1 (2019),53-57,OFAV
8/22/2019,94.66867451,Year 1 (2019),53-77,OFAV
8/22/2019,93.94089135,Year 1 (2019),53-79,OFAV
8/22/2019,81.65979355,Year 1 (2019),53-90,OFAV
8/22/2019,87.83429604,Year 1 (2019),53-107,OFAV
8/22/2019,93.93840764,Year 1 (2019),54-52,OFAV
8/22/2019,83.15922274,Year 1 (2019),54-53,OFAV
8/22/2019,1.68318194,Year 1 (2019),54-55,OFAV
8/22/2019,53.71979783,Year 1 (2019),54-56,OFAV
8/22/2019,2.317769995,Year 1 (2019),54-57,OFAV
8/22/2019,94.45417709,Year 1 (2019),54-77,OFAV
8/22/2019,89.8957448,Year 1 (2019),54-79,OFAV
8/22/2019,78.2491803,Year 1 (2019),54-90,OFAV
