cross,fert,time,clock,,,,,
NL3,19.44444444,356,4:59,,,,,
OL1,50,357,5:00,,,,,
OL2,52.38095238,358,5:00,,,,,
OL3,51.02040816,359,5:00,,,,,
PL1,37.25490196,360,5:01,,,,,
PL2,67.44186047,361,5:01,,,,,
PL3,52.63157895,362,5:01,,,,,
GM1,39.08045977,363,5:02,,,,,
GM2,32.89473684,364,5:02,,,,,
GM3,21.59090909,365,5:02,,,,,
HM1,40.22988506,366,5:03,,,,,
HM2,57.89473684,367,5:03,,,,,
HM3,33.72093023,368,5:03,,,,,
IM1,28.81355932,369,5:04,,,,,
IM2,31.08108108,370,5:04,,,,,
IM3,44.73684211,371,5:04,,,,,
JM1,58,372,5:05,,,,,
JM2,39.13043478,373,5:05,,,,,
JM3,43.33333333,374,5:05,,,,,
KM1,33.33333333,375,5:06,,,,,
KM2,40.25974026,376,5:06,,,,,
KM3,14.63414634,377,5:06,,,,,
LM1,32.0754717,378,5:07,,,,,
LM2,31.91489362,379,5:07,,,,,
LM3,25.37313433,380,5:07,,,,,
NM1,44.23076923,381,5:08,,,,,
NM2,18.46153846,382,5:08,,,,,
NM3,37.5,383,5:08,,,,,
OM1,56.52173913,384,5:09,,,,,
OM2,49.31506849,385,5:09,,,,,
OM3,44.11764706,386,5:09,,,,,
PM1,39.28571429,387,5:10,,,,,
PM2,32.55813953,388,5:10,,,,,
PM3 ,55.17241379,389,5:10,,,,,
GN1,58.73015873,390,5:11,,,,,
GN2,55.71428571,391,5:11,,,,,
GN3,36.23188406,392,5:11,,,,,
HN1,86.66666667,393,5:12,,,,,
HN2,62.5,394,5:12,,,,,
HN3,75,395,5:12,,,,,
IN1,55.81395349,396,5:13,,,,,
IN2,68.96551724,397,5:13,,,,,
IN3,42.64705882,398,5:13,,,,,
JN1,81.53846154,399,5:14,,,,,
JN2,53.7037037,400,5:14,,,,,
JN3,46.875,401,5:14,,,,,
KN1,28.94736842,402,5:15,,,,,
KN2,35.29411765,403,5:15,,,,,
KN3,34.7826087,404,5:15,,,,,
LN1,30.43478261,405,5:16,,,,,
LN2,46.37681159,406,5:16,,,,,
LN3,21.81818182,407,5:16,,,,,
MN1,58.33333333,408,5:17,,,,,
MN2,52.27272727,409,5:17,,,,,
MN3,63.63636364,410,5:17,,,,,
ON1,60.60606061,411,5:18,,,,,
ON2,45.09803922,412,5:18,,,,,
ON3,75.40983607,413,5:18,,,,,
PN1,48.88888889,414,5:19,,,,,
PN2 ,82.25806452,415,5:19,,,,,
PN3,68,416,5:19,,,,,
GO1,1.234567901,417,5:20,,,,,
GO2,0,418,5:20,,,,,
GO3,1.515151515,419,5:20,,,,,
HO1,1.538461538,420,5:21,,,,,
HO2,1.19047619,421,5:21,,,,,
HO3,1.351351351,422,5:21,,,,,
IO1,9.523809524,423,5:22,,,,,
IO2,1.694915254,424,5:22,,,,,
IO3,17.24137931,425,5:22,,,,,
JO1,16,426,5:23,,,,,
JO2,11.84210526,427,5:23,,,,,
JO3,21.875,428,5:23,,,,,
KO1,9.722222222,429,5:24,,,,,
KO2,12.6984127,430,5:24,,,,,
KO3,13.55932203,431,5:24,,,,,
LO1,19.51219512,432,5:25,,,,,
LO2,15.2173913,433,5:25,,,,,
LO3,15.78947368,434,5:25,,,,,
MO1,9.803921569,435,5:26,,,,,
MO2,17.14285714,436,5:26,,,,,
MO3,38.70967742,437,5:26,,,,,
NO1,11.86440678,438,5:27,,,,,
NO2,16.66666667,439,5:27,,,,,
NO3,18.75,440,5:27,,,,,
PO1,39.53488372,441,5:28,,,,,
PO2,25.92592593,442,5:28,,,,,
PO3,53.06122449,443,5:28,,,,,
GP1,9.375,444,5:29,,,,,
GP2,10.38961039,445,5:29,,,,,
GP3,12.06896552,446,5:29,,,,,
HP1,12.12121212,447,5:30,,,,,
HP2,14.66666667,448,5:30,,,,,
HP3,13.79310345,449,5:30,,,,,
IP1,14.58333333,450,5:31,,,,,
IP2,10,451,5:31,,,,,
IP3,12.6984127,452,5:31,,,,,
JP1,6.12244898,453,5:32,,,,,
JP2,8.333333333,454,5:32,,,,,
JP3,9.090909091,455,5:32,,,,,
KP1,3.278688525,456,5:33,,,,,
KP2,14.28571429,457,5:33,,,,,
KP3,2.857142857,458,5:33,,,,,
LP1,6.25,459,5:34,,,,,
LP2,9.375,460,5:34,,,,,
LP3,11.11111111,461,5:34,,,,,
MP1,43.75,462,5:35,,,,,
MP2,28.57142857,463,5:35,,,,,
MP3,12.76595745,464,5:35,,,,,
BA1,71.42857143,472,5:36,,,,,
BA2,74.24242424,473,5:36,,,,,
BA3,79.66101695,474,5:36,,,,,
CA1,71.42857143,475,5:37,,,,,
CA2,71.66666667,476,5:37,,,,,
CA3,60.78431373,477,5:37,,,,,
NP1,17.94871795,465,5:38,,,,,
NP2,16.66666667,466,5:38,,,,,
NP3,7.407407407,467,5:38,,,,,
OP1,16.66666667,468,5:39,,,,,
OP2,17.5,469,5:39,,,,,
OP3,41.37931034,470,5:39,,,,,
DA1,15.68627451,490,5:40,,,,,
DA2,15.06849315,491,5:40,,,,,
DA3,31.94444444,492,5:40,,,,,
EA1,45.78313253,493,5:41,,,,,
EA2,14.51612903,494,5:41,,,,,
EA3,27.94117647,495,5:41,,,,,
FA1,4.819277108,496,5:42,,,,,
FA2,11.68831169,497,5:42,,,,,
FA3,17.85714286,498,5:42,,,,,
AB1,8.955223881,499,5:43,,,,,
AB2,3.703703704,500,5:43,,,,,
AB3,16.66666667,501,5:43,,,,,
CB1,24.09638554,502,5:44,,,,,
CB2,12.67605634,503,5:44,,,,,
CB3,20.23809524,504,5:44,,,,,
DB1,2.857142857,505,5:45,,,,,
DB2,2.816901408,506,5:45,,,,,
DB3,1.470588235,507,5:45,,,,,
EB1,8.955223881,508,5:46,,,,,
EB2,3.797468354,509,5:46,,,,,
EB3,6.896551724,510,5:46,,,,,
FB1,4.47761194,511,5:47,,,,,
FB2,6.896551724,512,5:47,,,,,
FB3,0,513,5:47,,,,,
AC1,39.68253968,514,5:48,,,,,
AC2,32.0754717,515,5:48,,,,,
AC3,29.54545455,516,5:48,,,,,
BC1,33.78378378,517,5:49,,,,,
BC2,36.20689655,518,5:49,,,,,
BC3,45.28301887,519,5:49,,,,,
DC1,25,520,5:50,,,,,
DC2,28.33333333,521,5:50,,,,,
DC3,18.51851852,522,5:50,,,,,
EC1,20.96774194,523,5:51,,,,,
EC2,53.44827586,524,5:51,,,,,
EC3,30,525,5:51,,,,,
FC1,10.90909091,526,5:52,,,,,
FC2,23.63636364,527,5:52,,,,,
FC3,18.57142857,528,5:52,,,,,
AD1,55.35714286,529,5:53,,,,,
AD2,25,530,5:53,,,,,
AD3,39.62264151,531,5:53,,,,,
BD1,52.45901639,532,5:54,,,,,
BD2,58.06451613,533,5:54,,,,,
BD3,42.85714286,534,5:54,,,,,
CD1,22.72727273,535,5:55,,,,,
CD2,27.69230769,536,5:55,,,,,
CD3,26,537,5:55,,,,,
ED1,17.14285714,538,5:56,,,,,
