cross,fert,sqrt,sq,ln,log
056-098,9.775198084,3.126531318,95.55449758,2.27984837,0.990125567
098-056,75.11067087,8.666641268,5641.612879,4.318962637,1.875701641
056-108,33.76782198,5.811008689,1140.265801,3.519508337,1.52850305
108-056,67.95985061,8.243776477,4618.541295,4.218917099,1.832252416
056-065,39.99326146,6.32402257,1599.460962,3.688710976,1.601986822
065-056,20.89973737,4.571623056,436.7990221,3.039736593,1.320140829
056-029,37.49869131,6.123617502,1406.15185,3.624306034,1.574016111
029-056,29.41347934,5.423419525,865.1527669,3.38145305,1.468546401
056-057,56.79012346,7.535922204,3225.118123,4.039362428,1.754272813
057-056,11.45491055,3.384510386,131.2149757,2.438418507,1.058991702
098-108,38.4245664,6.19875523,1476.447303,3.648697005,1.584608975
108-098,19.00351237,4.359301821,361.1334824,2.944623824,1.278833878
098-065,51.12689179,7.150307112,2613.959064,3.934310617,1.708649391
065-098,2.381544167,1.543225248,5.671752619,0.867749087,0.37685864
098-029,37.84112943,6.151514401,1431.951077,3.633396591,1.57796409
029-098,6.549747986,2.559247543,42.89919868,1.879426573,0.81622459
098-057,95.79570979,9.787528278,9176.818014,4.562217901,1.98134606
057-098,3.791387888,1.947148656,14.37462212,1.332732149,0.578798218
108-065,25.47319347,5.047097529,648.8835856,3.237626663,1.406083394
065-108,23.95061728,4.893936787,573.6320681,3.175994097,1.379316711
108-029,38.36134798,6.193653847,1471.593019,3.64705039,1.583893859
029-108,34.80533927,5.89960501,1211.411642,3.549770802,1.541645871
108-057,83.07692308,9.114654304,6901.775148,4.419766963,1.919480403
057-108,17.70562771,4.207805569,313.4892526,2.873882539,1.248111328
065-029,4.738015608,2.176698327,22.4487919,1.5556184,0.675596487
029-065,16.31198686,4.03881008,266.0809153,2.791900228,1.212506863
065-057,0,0,0,0,0
057-065,11.02559848,3.320481664,121.5638218,2.400219704,1.042402173
029-057,44.79142835,6.692639864,2006.272054,3.80201679,1.651194912
057-029,0.584795322,0.764719113,0.341985569,-0.53649337,-0.23299611
