fert,time,fert_sq,fert_sqrt,fert_ln,Age
90.01,104,8101.926362,9.487396976,4.499928567,4:16
87.81,105,7710.033529,9.370528085,4.475138908,4:17
91.83,106,8431.895774,9.582554709,4.519888455,4:18
95.2,107,9063.34227,9.757130087,4.555996617,4:19
1.95,108,3.810316822,1.397141111,0.668856171,4:20
82.89,109,6871.574131,9.104666848,4.417574245,4:21
81.66,110,6668.321882,9.036580855,4.402561758,4:22
78.25,111,6122.934217,8.845856674,4.359898354,4:23
80.16,112,6426.214623,8.953416887,4.384070469,4:24
82.57,113,6817.344239,9.086650122,4.413612634,4:25
80.02,114,6403.87599,8.945625818,4.382329355,4:26
82.8,115,6856.314047,9.099607824,4.416462633,4:27
84.13,116,7077.730258,9.1721997,4.432354275,4:28
77.18,117,5956.119687,8.784981556,4.346087244,4:29
91,118,8281.138509,9.539431903,4.51086787,4:30
87.83,119,7714.86356,9.371995307,4.47545204,4:31
82.59,120,6820.731379,9.087778568,4.413860993,4:32
86,121,7396.79421,9.273867444,4.454400985,4:33
82.13,122,6745.817463,9.062721753,4.408338978,4:34
71.63,123,5130.630461,8.463357453,4.271491914,4:35
86.28,124,7444.099973,9.288659634,4.457588524,4:36
15.56,125,242.0775133,3.944469592,2.744628989,4:37
87.15,126,7594.539284,9.335237216,4.467592376,4:38
