Night,Year   ,Cross,fert,,,
8/23/2019,Year 1 (2019),102-97,98.4729779,,,
8/17/2022,Year 2 (2022),01x02 ,76.56705114,,,
8/17/2022,Year 2 (2022),01x07 ,85.81738451,,,
8/17/2022,Year 2 (2022),01x09 ,83.07428912,,,
8/17/2022,Year 2 (2022),01x04 ,94.3768417,,,
8/17/2022,Year 2 (2022),02x01 ,92.54292571,,,
8/17/2022,Year 2 (2022),02x07 ,76.8730496,,,
8/17/2022,Year 2 (2022),02x09 ,92.21478712,,,
8/17/2022,Year 2 (2022),02x04 ,90.71349276,,,
8/17/2022,Year 2 (2022),07x01 ,92.65641942,,,
8/17/2022,Year 2 (2022),07x02 ,80.5129717,,,
8/17/2022,Year 2 (2022),07x09 ,93.42654487,,,
8/17/2022,Year 2 (2022),07x04 ,93.87967824,,,
8/17/2022,Year 2 (2022),04x01 ,93.55723449,,,
8/17/2022,Year 2 (2022),04x02 ,91.38070696,,,
8/17/2022,Year 2 (2022),04x07 ,91.09219115,,,
8/17/2022,Year 2 (2022),04x09 ,94.6422352,,,
8/17/2022,Year 2 (2022),09x01 ,45.5011517,,,
8/17/2022,Year 2 (2022),09x02 ,76.92496897,,,
8/17/2022,Year 2 (2022),09x07 ,85.12529881,,,
8/17/2022,Year 2 (2022),09x04 ,95.96262147,,,
