cross,miles,fert_s,dir
M-M,0,12.90863744,Sperm
M-L,30,12.41513455,Sperm
M-U,50,25.48719475,Sperm
M-M,0,12.90863744,Ova
L-M,30,53.17430121,Ova
U-M,50,48.97048818,Ova
