cross,miles,fert
M-M,0,12.90863744
M-L,30,12.41513455
M-U,50,25.48719475
L-M,30,53.17430121
L-U,90,36.09619419
L-L,0,42.44293448
U-L,90,43.48168149
U-M,50,48.97048818
