cross,miles,fert,dir
L-L (n=6),0,30.56,Sperm
L-M (n=6),30,22.54,Sperm
L-U (n=12),90,31.27,Sperm
L-B (n=3),160,35.44,Sperm
L-L (n=6),0,30.56,Ova
M-L (n=6),30,60.04,Ova
U-L (n=12),90,24.38,Ova
B-L (n=3),160,85.92,Ova
