cross,miles,fert_s,dir
U-U (n=10),0,24.88,Sperm
U-L (n=12),90,24.38,Sperm
U-M (n=8),50,17.45,Sperm
U-B (n=4),80,16.48,Sperm
U-U (n=10),0,24.88,Ova
L-U (n=12),90,31.27,Ova
M-U (n=8),50,51.4,Ova
B-U (n=4),80,36.73,Ova
