cross,miles,fert,dir
M-M (n=2),0,32.57,Sperm
M-L (n=6),30,60.04,Sperm
M-U (n=8),50,51.4,Sperm
M-B (n=2),120,80.74,Sperm
M-M (n=2),0,32.57,Ova
L-M (n=6),30,22.54,Ova
U-M (n=8),50,17.45,Ova
B-M (n=2),120,43,Ova
